PLATE,MJD,FIBRID,SDSS_NAME,RA,DEC,Z,SOURCE,Z_PIPE,ZWARNING,EXTINCTION,SN_MEDIAN_ALL
4535,55860,306,000007.05+060333.8,0.029414423,6.0593982,1.5460000,VI,1.5463998,0,0.253251,3.8140955
4535,55860,314,000003.82+061047.2,0.015955572,6.1797884,2.2680000,VI,2.2713945,0,0.208349,1.6523881
4535,55860,680,000008.15+075841.3,0.033994294,7.9781488,2.3960000,VI,2.3978157,0,0.229098,1.4961563
6110,56279,86,000001.41+200044.1,0.0059120926,20.012258,3.0900000,VI,3.0878975,0,0.223856,4.8775907
6151,56265,88,000007.48+114206.7,0.031189422,11.701886,2.8310000,VI,2.8279338,0,0.376609,14.082693
6151,56265,936,000009.70+123730.7,0.040445634,12.625205,2.4810000,VI,2.4570050,0,0.360601,6.4670687
6152,56164,23,000005.13+083740.1,0.021386694,8.6278134,2.0010000,VI,2.8130114,0,0.246289,10.470013
6172,56269,394,000002.15+151516.6,0.0089803091,15.254639,1.7100000,VI,1.7100722,0,0.181579,6.4290948
6172,56269,618,000003.46+160253.6,0.014419235,16.048234,2.8950000,VI,2.9072433,0,0.160907,5.6240034
6177,56268,384,000005.19+134227.5,0.021651148,13.707654,3.0090000,VI,3.0083725,0,0.267565,2.4719903
6177,56268,386,000009.38+135618.4,0.039085847,13.938452,2.2390000,VI,1.1275011,4,0.264598,18.175579
6177,56268,393,000011.73+140334.6,0.048879594,14.059622,2.4380000,VI,2.4378278,0,0.266078,1.1457285
6177,56268,584,000011.37+150335.7,0.047385823,15.059943,2.1800000,VI,2.1799381,0,0.153372,9.5860806
