specobjID,plate,mjd,fiberID,z
5148916289587402752,4573,55587,640,2.408302
5148923986168797184,4573,55587,668,2.819172
5148927284703680512,4573,55587,680,2.321112
9933907361973688320,8823,57446,336,2.312617
9966694249008486400,8852,57449,830,2.014193
5147626563035224064,4572,55622,44,2.240022
5145460525145282560,4570,55623,356,2.497631
5145463823680165888,4570,55623,368,2.990226
9966714864851507200,8852,57449,905,2.019897
9966726409723598848,8852,57449,947,2.156528
9933882897839970304,8823,57446,247,2.171338
9966725310211971072,8852,57449,943,2.021471
5145453928075515904,4570,55623,332,2.479615
5145439084668540928,4570,55623,278,2.560019
5145418743703427072,4570,55623,204,2.407031
5145403075662731264,4570,55623,147,2.582231
5145403900296452096,4570,55623,150,2.58112
5142130653610137600,4567,55589,530,2.727165
9936164659429398528,8825,57451,356,2.144518
5142142198482229248,4567,55589,572,2.853921
9936270212545665024,8825,57451,740,2.723412
5142173534563620864,4567,55589,686,2.3877
5142174634075248640,4567,55589,690,2.77123
9936288629365430272,8825,57451,807,2.997184
1526722798465083392,1356,53033,9,2.141267
9936310344720078848,8825,57451,886,2.065486
5142204320889198592,4567,55589,798,2.606483
7260071536702543872,6448,56365,978,2.290859
12818534959385171968,11385,58523,598,2.572342
12818543205722380288,11385,58523,628,2.618797
11796248898682771456,10477,58136,711,2.897498
7256629515568568320,6445,56366,744,2.834856
7256628965812754432,6445,56366,742,2.365466
11560829446291478528,10268,58487,324,2.603039
7253164404723963904,6442,56369,426,2.206302
11560797285576366080,10268,58487,207,2.798522
11560784641192646656,10268,58487,161,2.016274
11798487779620706304,10479,58159,664,2.182806
11560755779012417536,10268,58487,56,2.042044
7253099533537925120,6442,56369,190,2.039449
7253102282316994560,6442,56369,200,2.221797
7253090737444902912,6442,56369,158,2.937924
7253079192572811264,6442,56369,116,2.376589
11558599086535104512,10266,58462,402,2.145864
7253068197456533504,6442,56369,76,2.531033
11558599911168825344,10266,58462,405,2.80232
11558561703139760128,10266,58462,266,2.932407
7250973627822397440,6440,56370,648,2.31458
11558544660709529600,10266,58462,204,2.005601
11558545210465343488,10266,58462,206,2.240935
7250987371717744640,6440,56370,698,2.128101
7251005513659602944,6440,56370,764,2.341637
