,wave,flux,error,model,cont,narrow,broad,fe,out
163,3115.0742,6.9241257,0.7948385,6.688160359615667,6.5552339104360176,0.0,0.13292645,0.0,0.0
164,3115.791,7.0573397,0.8300304,6.690272577259438,6.553306855413811,0.0,0.13696572,0.0,0.0
165,3116.5095,6.7026467,0.86536205,6.692440237116683,6.55137621910559,0.0,0.14106402,0.0,0.0
166,3117.2263,7.1898103,0.8638866,6.694650260224796,6.549451184883571,0.0,0.14519908,0.0,0.0
167,3117.945,6.5350666,0.8258024,6.696910975866851,6.5475219175153345,0.0,0.14938906,0.0,0.0
168,3118.6624,7.721124,0.7961751,6.699208551424202,6.545597591775116,0.0,0.15361096,0.0,0.0
169,3119.38,8.504672,0.8089052,6.701545178740131,6.543673619477855,0.0,0.15787156,0.0,0.0
170,3120.099,7.4763904,0.76900554,6.703922372285811,6.541746076170889,0.0,0.1621763,0.0,0.0
171,3120.8167,6.8503127,0.76968324,6.706325285613134,6.539824121176793,0.0,0.16650116,0.0,0.0
172,3121.5366,7.915562,0.78378457,6.708764274949656,6.537896638149844,0.0,0.17086764,0.0,0.0
173,3122.2546,6.550175,0.7942193,6.71122060278737,6.5359753922589965,0.0,0.17524521,0.0,0.0
174,3122.9749,6.6676974,0.7757339,6.7137046210815905,6.534049277787447,0.0,0.17965534,0.0,0.0
175,3123.6929,7.471434,0.79082096,6.716197161725701,6.532130046538056,0.0,0.18406712,0.0,0.0
176,3124.4116,7.0767345,0.77736217,6.718704203322351,6.5302098637370465,0.0,0.18849434,0.0,0.0
177,3125.1323,6.13356,0.75564945,6.721225857236846,6.528285473087295,0.0,0.19294038,0.0,0.0
178,3125.851,6.436409,0.76380086,6.723744061990732,6.526367304130548,0.0,0.19737676,0.0,0.0
179,3126.5718,7.365466,0.783708,6.7262681509305855,6.524444931273641,0.0,0.20182322,0.0,0.0
180,3127.291,7.46886,0.7753152,6.728781611268954,6.522527471726375,0.0,0.20625414,0.0,0.0
181,3128.0125,6.187987,0.73759216,6.731292696252952,6.520605163231979,0.0,0.21068753,0.0,0.0
182,3128.732,6.781602,0.7950112,6.73378231955224,6.518689064509211,0.0,0.21509326,0.0,0.0
