Unnamed: 0.1,Unnamed: 0,Wavelength (Ang),Flux,Error
207,207,2332.76,2.75199e-17,1.30765e-17
208,208,2333.27,6.54502e-17,2.15042e-17
209,209,2333.78,8.0879e-17,2.41726e-17
210,210,2334.3,7.32468e-17,2.29407e-17
211,211,2334.81,6.548670000000001e-17,2.15361e-17
212,212,2335.32,2.7502400000000002e-17,1.30919e-17
213,213,2335.84,5.01031e-17,1.83876e-17
214,214,2336.35,3.5105760000000004e-17,1.49544e-17
215,215,2336.86,2.7653600000000002e-17,1.29225e-17
216,216,2337.38,5.00449e-17,1.82915e-17
217,217,2337.89,6.49511e-17,2.10981e-17
218,218,2338.4,2.022470000000001e-17,1.05325e-17
219,219,2338.92,2.7674500000000002e-17,1.28965e-17
220,220,2339.43,2.76774e-17,1.28926e-17
221,221,2339.94,5.74836e-17,1.97293e-17
222,222,2340.46,4.2559850000000004e-17,1.66267e-17
223,223,2340.97,3.5137010000000005e-17,1.48241e-17
224,224,2341.48,4.254504e-17,1.65562e-17
225,225,2342.0,4.9919e-17,1.80858e-17
226,226,2342.51,4.9865000000000004e-17,1.79944e-17
227,227,2343.02,3.5224330000000005e-17,1.45085e-17
228,228,2343.54,5.670360000000001e-17,1.88851e-17
229,229,2344.05,2.8303700000000004e-17,1.21951e-17
230,230,2344.56,2.8411900000000005e-17,1.2075e-17
231,231,2345.08,2.84886e-17,1.19899e-17
232,232,2345.59,7.682890000000001e-17,2.18231e-17
233,233,2346.1,7.680220000000001e-17,2.18078e-17
234,234,2346.61,2.15064e-17,9.82177e-18
235,235,2347.13,2.13372e-17,9.914610000000001e-18
236,236,2347.64,5.66422e-17,1.88229e-17
237,237,2348.15,7.14298e-17,2.17219e-17
238,238,2348.67,5.73176e-17,1.95591e-17
239,239,2349.18,6.5298e-17,2.13947e-17
240,240,2349.69,8.897990000000001e-17,2.55981e-17
241,241,2350.21,5.05955e-17,1.92592e-17
242,242,2350.72,1.883140000000001e-17,1.12918e-17
243,243,2351.23,5.09223e-17,1.98207e-17
244,244,2351.75,2.6545500000000004e-17,1.41268e-17
245,245,2352.26,5.91828e-17,2.15936e-17
246,246,2352.77,4.2833560000000004e-17,1.81174e-17
247,247,2353.29,4.277599e-17,1.78207e-17
248,248,2353.8,6.59408e-17,2.19284e-17
249,249,2354.31,5.76516e-17,1.99286e-17
250,250,2354.82,4.250311e-17,1.64087e-17
251,251,2355.34,2.0852200000000004e-17,1.01775e-17
252,252,2355.85,3.5306760000000005e-17,1.41759e-17
253,253,2356.36,6.32579e-17,1.97177e-17
254,254,2356.88,6.99219e-17,2.07059e-17
255,255,2357.39,4.2284590000000006e-17,1.52822e-17
256,256,2357.9,4.226713000000001e-17,1.51933e-17
257,257,2358.42,4.224449e-17,1.50773e-17
258,258,2358.93,6.2346e-17,1.89672e-17
259,259,2359.44,3.5531930000000005e-17,1.33771e-17
260,260,2359.96,4.2238970000000004e-17,1.50542e-17
261,261,2360.47,5.593490000000001e-17,1.80644e-17
262,262,2360.98,6.31899e-17,1.96644e-17
263,263,2361.49,6.349830000000001e-17,1.9919e-17
264,264,2362.01,4.238546e-17,1.58248e-17
265,265,2362.52,5.646740000000001e-17,1.86459e-17
266,266,2363.03,4.2341940000000003e-17,1.56015e-17
267,267,2363.55,4.921611000000001e-17,1.69145e-17
268,268,2364.06,5.59602e-17,1.80945e-17
269,269,2364.57,7.62506e-17,2.14951e-17
270,270,2365.08,4.22457e-17,1.51064e-17
271,271,2365.6,5.57032e-17,1.78156e-17
272,272,2366.11,2.2145400000000002e-17,9.461920000000001e-18
273,273,2366.62,4.8890550000000004e-17,1.63596e-17
274,274,2367.14,4.8882050000000006e-17,1.63455e-17
275,275,2367.65,3.5504860000000004e-17,1.34541e-17
276,276,2368.16,3.548023e-17,1.35394e-17
277,277,2368.68,1.1045539999999999e-16,2.64079e-17
278,278,2369.19,6.95601e-17,2.04663e-17
279,279,2369.7,3.545229e-17,1.36343e-17
280,280,2370.21,2.8658100000000003e-17,1.17821e-17
281,281,2370.73,5.584960000000001e-17,1.79781e-17
282,282,2371.24,4.227007e-17,1.5251e-17
283,283,2371.75,5.61224e-17,1.82759e-17
284,284,2372.27,4.9398800000000006e-17,1.72362e-17
285,285,2372.78,4.2400160000000004e-17,1.59342e-17
286,286,2373.29,4.241579e-17,1.60171e-17
287,287,2373.8,3.528021e-17,1.42292e-17
288,288,2374.32,6.33498e-17,1.98025e-17
289,289,2374.83,3.54379e-17,1.36761e-17
290,290,2375.34,3.5510270000000004e-17,1.34223e-17
291,291,2375.86,2.8889e-17,1.15248e-17
292,292,2376.37,6.20839e-17,1.87587e-17
293,293,2376.88,2.89232e-17,1.14867e-17
294,294,2377.4,6.20544e-17,1.87347e-17
295,295,2377.91,4.8816670000000005e-17,1.62418e-17
296,296,2378.42,3.555588e-17,1.32587e-17
297,297,2378.93,3.5541970000000003e-17,1.33067e-17
298,298,2379.45,7.53728e-17,2.09879e-17
299,299,2379.96,4.878157e-17,1.61828e-17
300,300,2380.47,4.214828000000001e-17,1.46341e-17
301,301,2380.98,3.5618090000000005e-17,1.30383e-17
302,302,2381.5,2.91334e-17,1.12534e-17
303,303,2382.01,2.9160300000000003e-17,1.12235e-17
304,304,2382.52,3.563287e-17,1.2985e-17
305,305,2383.04,4.866341000000001e-17,1.59817e-17
306,306,2383.55,8.17946e-17,2.19019e-17
307,307,2384.06,3.552842e-17,1.33485e-17
308,308,2384.57,3.547033e-17,1.35509e-17
309,309,2385.09,6.97618e-17,2.06071e-17
310,310,2385.6,6.33024e-17,1.97667e-17
311,311,2386.11,7.0678e-17,2.12281e-17
312,312,2386.63,6.385300000000001e-17,2.02213e-17
313,313,2387.14,7.105920000000001e-17,2.14866e-17
314,314,2387.65,4.95542e-17,1.75122e-17
315,315,2388.16,4.237097e-17,1.58099e-17
316,316,2388.68,5.6184e-17,1.83494e-17
317,317,2389.19,3.5470460000000003e-17,1.35466e-17
318,318,2389.7,4.21788e-17,1.48062e-17
319,319,2390.22,4.8615880000000004e-17,1.5903e-17
320,320,2390.73,6.121550000000001e-17,1.80455e-17
321,321,2391.24,6.09183e-17,1.78003e-17
322,322,2391.75,4.8282570000000005e-17,1.53314e-17
323,323,2392.27,5.4526e-17,1.65429e-17
324,324,2392.78,4.8309030000000005e-17,1.53771e-17
325,325,2393.29,2.945384e-17,1.08976e-17
326,326,2393.8,2.941486e-17,1.09405e-17
327,327,2394.32,2.308110000000001e-17,8.9423e-18
328,328,2394.83,4.837001e-17,1.54822e-17
329,329,2395.34,4.204054e-17,1.4087e-17
330,330,2395.85,1.7010200000000002e-17,6.2525000000000004e-18
331,331,2396.37,6.067890000000001e-17,1.76032e-17
332,332,2396.88,3.579549e-17,1.24077e-17
333,333,2397.39,5.4462300000000006e-17,1.64741e-17
334,334,2397.91,2.95712e-17,1.07678e-17
335,335,2398.42,2.3373300000000002e-17,8.78146e-18
336,336,2398.93,7.29894e-17,1.96014e-17
337,337,2399.44,5.44727e-17,1.64856e-17
338,338,2399.96,5.45009e-17,1.65164e-17
339,339,2400.47,7.94312e-17,2.06837e-17
340,340,2400.98,4.8164270000000004e-17,1.51299e-17
341,341,2401.49,6.03575e-17,1.73382e-17
342,342,2402.01,2.97672e-17,1.05517e-17
343,343,2402.52,4.803647000000001e-17,1.49107e-17
344,344,2403.03,4.1951670000000004e-17,1.36244e-17
345,345,2403.54,3.586505e-17,1.21637e-17
346,346,2404.06,5.4067700000000004e-17,1.60443e-17
347,347,2404.57,4.19179e-17,1.34477e-17
348,348,2405.08,3.592777e-17,1.19447e-17
349,349,2405.6,5.3760300000000005e-17,1.57093e-17
350,350,2406.11,3.5934560000000004e-17,1.1921e-17
351,351,2406.62,3.5892320000000004e-17,1.20685e-17
352,352,2407.13,6.043840000000001e-17,1.74051e-17
353,353,2407.65,3.575528e-17,1.25471e-17
354,354,2408.16,3.5721950000000004e-17,1.26635e-17
355,355,2408.67,4.8357260000000005e-17,1.54611e-17
356,356,2409.18,4.8234240000000004e-17,1.525e-17
