Unnamed: 0.1,Unnamed: 0,Wavelength (Ang),Flux,Error
347,347,2400.47,2.618501e-16,8.56762e-17
348,348,2400.98,4.498171e-16,1.06072e-16
349,349,2401.49,1.302391e-16,6.65779e-17
350,350,2402.01,1.919051e-16,7.54408e-17
351,351,2402.52,2.5443909999999996e-16,8.36285e-17
352,352,2403.03,3.384331e-16,9.3588e-17
353,353,2403.54,3.1683709999999997e-16,9.10515e-17
354,354,2404.06,1.908101e-16,7.50966e-17
355,355,2404.57,1.888321e-16,7.44753e-17
356,356,2405.08,3.307801e-16,9.17357e-17
357,357,2405.6,1.246401e-16,6.44892e-17
358,358,2406.11,2.6861309999999997e-16,8.44087e-17
359,359,2406.62,3.1398609999999996e-16,9.03405e-17
360,360,2407.13,3.422891e-16,9.45213e-17
361,361,2407.65,4.3608909999999997e-16,1.05561e-16
362,362,2408.16,5.058281e-16,1.13003e-16
363,363,2408.67,4.1738209999999996e-16,1.03972e-16
364,364,2409.18,2.399541e-16,8.28188e-17
365,365,2409.7,3.634501e-16,9.68616e-17
366,366,2410.21,2.977881e-16,8.90967e-17
367,367,2410.72,5.107141e-16,1.11707e-16
368,368,2411.23,4.099911e-16,1.02322e-16
369,369,2411.75,3.074931e-16,9.15956e-17
370,370,2412.26,3.325711e-16,9.49755e-17
371,371,2412.77,5.303021000000001e-16,1.15622e-16
372,372,2413.28,4.193031e-16,1.04401e-16
373,373,2413.8,4.988341e-16,1.11577e-16
374,374,2414.31,4.713271e-16,1.08234e-16
375,375,2414.82,4.2551909999999997e-16,1.03257e-16
376,376,2415.33,5.965951000000003e-16,1.19687e-16
377,377,2415.85,3.207771e-16,9.20341e-17
378,378,2416.36,3.411431e-16,9.42439e-17
379,379,2416.87,4.196771e-16,1.01984e-16
380,380,2417.38,5.398801e-16,1.13117e-16
381,381,2417.9,4.927311e-16,1.08113e-16
382,382,2418.41,4.284571e-16,1.01523e-16
383,383,2418.92,5.682541000000003e-16,1.14426e-16
384,384,2419.43,4.064891e-16,9.9109e-17
385,385,2419.95,4.2891709999999996e-16,1.01621e-16
386,386,2420.46,6.554551e-16,1.22462e-16
387,387,2420.97,6.592771000000003e-16,1.23127e-16
388,388,2421.48,4.754951e-16,1.06817e-16
389,389,2422.0,3.3245209999999998e-16,9.214e-17
390,390,2422.51,4.761121000000001e-16,1.06942e-16
391,391,2423.02,7.410401e-16,1.29734e-16
392,392,2423.53,4.496551e-16,1.03719e-16
393,393,2424.05,5.254681e-16,1.10345e-16
394,394,2424.56,5.416461e-16,1.11419e-16
395,395,2425.07,4.419261e-16,1.02109e-16
396,396,2425.58,3.742461e-16,1.06809e-16
397,397,2426.1,6.061151000000003e-16,1.3188e-16
398,398,2426.61,3.535591e-16,1.04972e-16
399,399,2427.12,5.837781e-16,1.30041e-16
400,400,2427.63,5.054041e-16,1.21898e-16
401,401,2428.15,5.282111000000003e-16,1.23959e-16
402,402,2428.66,3.478261e-16,1.03474e-16
403,403,2429.17,4.944351e-16,1.19483e-16
404,404,2429.68,6.166221000000003e-16,1.31361e-16
405,405,2430.2,4.943241000000003e-16,1.19459e-16
406,406,2430.71,3.720161e-16,1.06245e-16
407,407,2431.22,4.247471e-16,1.12622e-16
408,408,2431.73,5.588410000000001e-17,6.74708e-17
409,409,2432.25,2.581071e-16,1.06615e-16
410,410,2432.76,2.916991e-16,1.11778e-16
411,411,2433.27,5.562831000000001e-16,1.45692e-16
412,412,2433.78,6.518081000000001e-16,1.55716e-16
413,413,2434.3,5.458691e-16,1.43182e-16
414,414,2434.81,3.4793109999999997e-16,1.18183e-16
415,415,2435.32,4.789141000000001e-16,1.35114e-16
416,416,2435.83,6.357351e-16,1.32579e-16
417,417,2436.34,7.826051e-16,1.45502e-16
418,418,2436.86,5.1129010000000025e-16,1.2032e-16
419,419,2437.37,5.322781e-16,1.22049e-16
420,420,2437.88,5.524331e-16,1.23591e-16
421,421,2438.39,5.495061e-16,1.22989e-16
422,422,2438.91,4.287821e-16,1.10504e-16
423,423,2439.42,2.5986809999999997e-16,9.01914e-17
424,424,2439.93,2.4302209999999997e-16,1.01364e-16
425,425,2440.44,3.7002809999999997e-16,1.19589e-16
426,426,2440.96,5.295161e-16,1.3924e-16
427,427,2441.47,3.6894009999999997e-16,1.19278e-16
428,428,2441.98,6.174491000000003e-16,1.29034e-16
429,429,2442.49,5.208771e-16,1.19652e-16
430,430,2443.01,4.746681e-16,1.1513e-16
431,431,2443.52,7.126201e-16,1.37524e-16
432,432,2444.03,5.412851000000003e-16,1.21297e-16
433,433,2444.54,7.702831e-16,1.41197e-16
434,434,2445.05,5.762191e-16,1.23378e-16
435,435,2445.57,5.735831000000001e-16,1.22857e-16
